10 10 7
888127 25922 -813204 -351493
1022645 -1033876 1012847 757013
-123478 -1031895 -22247 -636901
338315 1035438 -511178 211388
275540 650516 270722 56314
874112 863693 419420 269726
-194271 682977 -802645 -141999
-328818 -861033 -561924 -553270
-247974 -301178 -311247 -789842
335322 153339 600328 786356
791184 -572583 -629988 -144602
-644399 883825 -826673 -179227
556772 743374 530028 852832
-904700 -486803 -246694 499034
-40383 1028950 -693848 354831
1048254 -956358 883839 552302
331159 324090 -249932 462761
66076 29456 -449215 72828
-925089 951600 -905902 -17262
272530 -1022530 -616457 -589821
