10000 10000 74799
914233 -101254 65615 138904
-672895 5513 -9294 -158297
-307056 -438362 229251 -250969
-17395 -629316 562694 -174636
-886987 467426 -413907 141702
-679860 829445 849900 335362
-714700 -78258 -608629 -849162
430078 -578338 1006591 -598294
-237280 129712 -13198 416164
-863340 476880 -181782 309939
387236 731264 775561 501019
998187 480441 870708 44762
-981259 -1011986 -977605 798261
73186 578755 794861 57980
923906 -604576 950607 -1041472
386946 -1045851 -400317 -1025980
-886946 -26774 -292954 113945
341017 733632 -286277 935348
-793850 -998241 829007 -946528
70621 800401 -972612 858281
290017 -84303 243645 28753
525906 -471080 327679 -507256
-961572 -804673 -416467 -924831
-517491 869028 -749698 977255
-700745 -84229 -620658 -598592
895246 524720 812606 1043281
-569478 -586003 164633 -35489
-305351 -671168 929890 -780376
-372087 -617203 404455 -151625
280086 1036295 555370 720442
724067 -879874 -513262 -760478
-611443 -34329 -512851 -89475
-109924 125079 226112 397419
-77675 642599 -180359 798240
-206603 650740 72019 414488
1046272 41599 792142 10541
-111555 465329 -662619 455225
173961 -207422 212536 -155294
371690 77295 250840 202270
804366 -254597 298274 -82658
-903458 671216 -647661 587054
-839107 394731 -937821 -438895
955179 -161464 669145 -407856
25642 751899 344740 669136
610377 -277622 510667 -396744
705668 -731844 760405 -754980
310354 -915792 790085 -927941
-16407 -769854 222268 -823404
-82388 509558 -863932 534483
884850 -901150 -332908 -915508
-138487 -90724 257674 65511
792826 575990 855393 323310
-975728 -992431 -974970 128280
983875 -394470 302677 -497603
867205 -954744 366500 -1016066
609304 872412 764197 870949
90271 248627 249517 294287
928561 502134 836909 498236
855468 -679290 37625 -660464
218103 -595340 307841 -424565
-595001 1659 -115811 -5493
-714789 -921216 -911663 -853326
-800585 -674687 -763360 -592297
-722062 -663052 -649919 -704135
659798 -835034 -142028 -718033
-450626 -685851 -268792 -767159
-281055 148192 -720797 60796
-441267 -917979 28262 -858988
1026755 -254158 1045536 -898664
-512443 -115632 -299500 -315332
-649082 562788 -287789 608549
-542643 589499 -727022 726161
-409458 -304452 -543242 -158254
-617972 1036068 -182849 1019513
142104 -122816 -592927 -633244
530819 -463743 852385 -485582
144510 894381 75467 1043916
-22227 290127 -78743 320646
-811463 -363034 -733825 -635135
-81863 -908420 316358 -870463
313321 916676 289311 1001556
-656671 91320 -522515 168133
-372768 -761149 -561936 -662844
-999645 541977 -979674 428505
-618965 856966 774 830626
-1030667 57731 -987658 878804
534449 187350 562473 2788
-87621 837733 -492558 986053
88130 579745 859871 202434
-944531 501166 -889732 570554
99800 -25185 84415 -54622
372454 180564 273942 285747
-33425 71230 65609 219677
-13152 -471432 -328898 -666144
339842 861302 422455 496843
131783 217053 115034 144623
833855 -1005525 59936 -1028560
-142049 -938862 -159919 -917770
820609 576099 882352 240102
392950 686530 557896 567738
714336 36890 1017975 -113347
-361489 -525983 -142853 -442419
-953408 -359000 -970136 -34340
1009825 -799335 1005798 -924853
367057 -574068 921916 -525036
475195 -803245 416207 -771167
-937666 -988064 -573131 -912566
-595112 692806 -689262 781379
428778 18578 845691 -88835
-1020121 998335 -623179 993974
30214 -610384 277333 -441520
-27897 -478650 383970 -198789
-380372 -68848 -660095 -143853
-350554 -708482 -47079 -695486
-208859 -715175 243049 -819033
503970 425256 681748 302815
953204 87980 1012428 251986
253913 396276 540475 26016
-827119 -301706 -798492 -161844
